category,dest_rel,rel,filename,width,height,viewBox,size,colors
screen-funds-bank,reference-svg/screen-funds-bank/112_UPI.svg,Choice FinX Design (6)/UPI.svg,UPI.svg,393,852,0 0 393 852,924406,6
screens-misc,reference-svg/screens-misc/113_Image_20250403_114104_699_1.svg,Choice FinX Design (6)/Image_20250403_114104_699 1.svg,Image_20250403_114104_699 1.svg,740,1600,0 0 740 1600,244653,0
screens-misc,reference-svg/screens-misc/114_Screenshot_20250403_111545_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250403_111545_Choice 1.svg,Screenshot_20250403_111545_Choice 1.svg,720,1600,0 0 720 1600,82033,0
screens-misc,reference-svg/screens-misc/115_Image_20250403_142309_978_1.svg,Choice FinX Design (6)/Image_20250403_142309_978 1.svg,Image_20250403_142309_978 1.svg,1170,2532,0 0 1170 2532,782280,0
screens-misc,reference-svg/screens-misc/116_Screenshot_20250403_143227_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250403_143227_Choice 1.svg,Screenshot_20250403_143227_Choice 1.svg,720,1600,0 0 720 1600,64729,0
screens-misc,reference-svg/screens-misc/117_Image_20250403_114104_733_1.svg,Choice FinX Design (6)/Image_20250403_114104_733 1.svg,Image_20250403_114104_733 1.svg,740,1600,0 0 740 1600,142013,0
screens-misc,reference-svg/screens-misc/118_Image_20250403_114104_545_1.svg,Choice FinX Design (6)/Image_20250403_114104_545 1.svg,Image_20250403_114104_545 1.svg,740,1600,0 0 740 1600,222361,0
screens-misc,reference-svg/screens-misc/119_Image_20250403_150514_337_1.svg,Choice FinX Design (6)/Image_20250403_150514_337 1.svg,Image_20250403_150514_337 1.svg,740,1600,0 0 740 1600,153049,0
screens-misc,reference-svg/screens-misc/120_Screenshot_20250403_111550_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250403_111550_Choice 1.svg,Screenshot_20250403_111550_Choice 1.svg,720,1600,0 0 720 1600,114005,0
screens-misc,reference-svg/screens-misc/121_Screenshot_20250403_111605_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250403_111605_Choice 1.svg,Screenshot_20250403_111605_Choice 1.svg,720,1600,0 0 720 1600,114733,0
screens-misc,reference-svg/screens-misc/122_Image_20250403_114104_668_1.svg,Choice FinX Design (6)/Image_20250403_114104_668 1.svg,Image_20250403_114104_668 1.svg,740,1600,0 0 740 1600,202025,0
screens-misc,reference-svg/screens-misc/123_Image_20250403_114104_578_1.svg,Choice FinX Design (6)/Image_20250403_114104_578 1.svg,Image_20250403_114104_578 1.svg,740,1600,0 0 740 1600,158857,0
screens-misc,reference-svg/screens-misc/124_Frame.svg,Choice FinX Design (6)/Frame.svg,Frame.svg,512,512,0 0 512 512,10358,0
screen-funds-bank,reference-svg/screen-funds-bank/125_Mutual_Fund.svg,Choice FinX Design (6)/Mutual Fund.svg,Mutual Fund.svg,3954,2809,0 0 3954 2809,1859063,34
screen-funds-bank,reference-svg/screen-funds-bank/126_Mutual_Fund-1.svg,Choice FinX Design (6)/Mutual Fund-1.svg,Mutual Fund-1.svg,393,863,0 0 393 863,376920,10
screens-misc,reference-svg/screens-misc/127_Basket.svg,Choice FinX Design (6)/Basket.svg,Basket.svg,3954,2792,0 0 3954 2792,2440591,24
screen-ipo,reference-svg/screen-ipo/128_Mobile_IPO_Listing_page_2.svg,Choice FinX Design (6)/Mobile IPO Listing page 2.svg,Mobile IPO Listing page 2.svg,393,874,0 0 393 874,298062,0
screen-ipo,reference-svg/screen-ipo/129_IPO.svg,Choice FinX Design (6)/IPO.svg,IPO.svg,393,823,0 0 393 823,149017,7
screen-ipo,reference-svg/screen-ipo/130_IPO-1.svg,Choice FinX Design (6)/IPO-1.svg,IPO-1.svg,393,823,0 0 393 823,589403,10
screens-misc,reference-svg/screens-misc/131_image_10.svg,Choice FinX Design (6)/image 10.svg,image 10.svg,391,848,0 0 391 848,1353894,0
screens-misc,reference-svg/screens-misc/132_image_9.svg,Choice FinX Design (6)/image 9.svg,image 9.svg,443,960,0 0 443 960,976053,0
screens-misc,reference-svg/screens-misc/133_Image_20250403_142309_741_1.svg,Choice FinX Design (6)/Image_20250403_142309_741 1.svg,Image_20250403_142309_741 1.svg,1170,2532,0 0 1170 2532,387896,0
screens-misc,reference-svg/screens-misc/134_Image_20250403_142309_904_1_1.svg,Choice FinX Design (6)/Image_20250403_142309_904 (1) 1.svg,Image_20250403_142309_904 (1) 1.svg,1170,2532,0 0 1170 2532,432956,0
screens-misc,reference-svg/screens-misc/135_Image_20250404_103437_001_1.svg,Choice FinX Design (6)/Image_20250404_103437_001 1.svg,Image_20250404_103437_001 1.svg,739,1600,0 0 739 1600,194088,0
screens-misc,reference-svg/screens-misc/136_Screenshot_20250403_111610_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250403_111610_Choice 1.svg,Screenshot_20250403_111610_Choice 1.svg,720,1600,0 0 720 1600,35077,0
screens-misc,reference-svg/screens-misc/137_Screenshot_20250403_111614_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250403_111614_Choice 1.svg,Screenshot_20250403_111614_Choice 1.svg,720,1600,0 0 720 1600,138637,0
screen-reports,reference-svg/screen-reports/138_Ledger_Report.svg,Choice FinX Design (6)/Ledger Report.svg,Ledger Report.svg,393,863,0 0 393 863,434174,8
screen-reports,reference-svg/screen-reports/139_Profit_and_Loss_Report-1.svg,Choice FinX Design (6)/Profit and Loss Report-1.svg,Profit and Loss Report-1.svg,393,852,0 0 393 852,249179,8
screens-misc,reference-svg/screens-misc/140_Screenshot_20250403_111622_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250403_111622_Choice 1.svg,Screenshot_20250403_111622_Choice 1.svg,384,852,0 0 384 852,62629,0
screens-misc,reference-svg/screens-misc/141_Screenshot_20250404_115608_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250404_115608_Choice 1.svg,Screenshot_20250404_115608_Choice 1.svg,384,852,0 0 384 852,102693,0
screens-misc,reference-svg/screens-misc/142_image_11.svg,Choice FinX Design (6)/image 11.svg,image 11.svg,1024,768,0 0 1024 768,680055,0
screen-more-profile,reference-svg/screen-more-profile/143_Insurance.svg,Choice FinX Design (6)/Insurance.svg,Insurance.svg,393,1001,0 0 393 1001,1129613,11
screens-misc,reference-svg/screens-misc/144_Screenshot_20250404_152606_Choice.svg,Choice FinX Design (6)/Screenshot_20250404_152606_Choice.svg,Screenshot_20250404_152606_Choice.svg,388,863,0 0 388 863,78330,0
screens-misc,reference-svg/screens-misc/145_Screenshot_20250404_152601_Choice.svg,Choice FinX Design (6)/Screenshot_20250404_152601_Choice.svg,Screenshot_20250404_152601_Choice.svg,389,863,0 0 389 863,75153,0
screens-misc,reference-svg/screens-misc/146_Screenshot_20250404_163941_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250404_163941_Choice 1.svg,Screenshot_20250404_163941_Choice 1.svg,388,863,0 0 388 863,38086,0
screen-more-profile,reference-svg/screen-more-profile/147_More.svg,Choice FinX Design (6)/More.svg,More.svg,13722,1673,0 0 13722 1673,7207534,30
screens-misc,reference-svg/screens-misc/148_Rectangle_28.svg,Choice FinX Design (6)/Rectangle 28.svg,Rectangle 28.svg,393,863,0 0 393 863,172,0
screen-funds-bank,reference-svg/screen-funds-bank/149_funds-2.svg,Choice FinX Design (6)/funds-2.svg,funds-2.svg,393,852,0 0 393 852,321938,9
screen-market,reference-svg/screen-market/150_Market-1.svg,Choice FinX Design (6)/Market-1.svg,Market-1.svg,393,863,0 0 393 863,348539,9
screens-misc,reference-svg/screens-misc/151_IMG-20250417-WA0002_1.svg,Choice FinX Design (6)/IMG-20250417-WA0002 1.svg,IMG-20250417-WA0002 1.svg,720,1600,0 0 720 1600,45861,0
screen-reports,reference-svg/screen-reports/152_Profit_and_Loss_Report-2.svg,Choice FinX Design (6)/Profit and Loss Report-2.svg,Profit and Loss Report-2.svg,393,852,0 0 393 852,219657,9
screens-misc,reference-svg/screens-misc/153_Image_20250409_115454_348.svg,Choice FinX Design (6)/Image_20250409_115454_348.svg,Image_20250409_115454_348.svg,393,851,0 0 393 851,783382,0
screen-funds-bank,reference-svg/screen-funds-bank/154_withdraw-2.svg,Choice FinX Design (6)/withdraw-2.svg,withdraw-2.svg,393,852,0 0 393 852,221165,9
